sch,sch_dep,sch_par,sid,story_dep,story_par,text
6	out	out	_	IN	_	8	case	_	_
7	of	of	_	IN	_	8	case	_	_
8	it	it	_	PRP	_	5	nmod	_	_
9	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	3	det	_	_
2	craziest	craziest	_	JJS	_	3	amod	_	_
3	squirrel	squirrel	_	NN	_	5	nsubj	_	_
4	just	just	_	RB	_	5	advmod	_	_
5	came	come	_	VBD	_	0	root	_	_
6	by	by	_	IN	_	11	mark	_	_
7	-	-	_	:	_	11	punct	_	_
8	he	he	_	PRP	_	11	nsubj	_	_
9	was	be	_	VBD	_	11	aux	_	_
10	literally	literally	_	RB	_	11	advmod	_	_
11	jumping	jump	_	VBG	_	5	advcl	_	_
12	in	in	_	IN	_	13	case	_	_
13	fright	fright	_	NN	_	11	nmod	_	_
14	at	at	_	IN	_	17	mark	_	_
15	what	what	_	WP	_	17	dobj	_	_
16	I	I	_	PRP	_	17	nsubj	_	_
17	believe	believe	_	VBP	_	11	advcl	_	_
18	was	be	_	VBD	_	21	cop	_	_
19	his	he	_	PRP$	_	21	nmod:poss	_	_
20	own	own	_	JJ	_	21	amod	_	_
21	reflection	reflection	_	NN	_	17	ccomp	_	_
22	in	in	_	IN	_	24	case	_	_
23	the	the	_	DT	_	24	det	_	_
24	bowl	bowl	_	NN	_	21	nmod	_	_
25	.	.	_	.	_	5	punct	_	_

1	He	he	_	PRP	_	3	nsubjpass	_	_
2	was	be	_	VBD	_	3	auxpass	_	_
3	startled	startle	_	VBN	_	0	root	_	_
4	so	so	_	RB	_	5	advmod	_	_
5	much	much	_	RB	_	3	advmod	_	_
6	at	at	_	IN	_	8	case	_	_
7	one	one	_	CD	_	8	nummod	_	_
8	point	point	_	NN	_	5	nmod	_	_
9	that	that	_	IN	_	11	mark	_	_
10	he	he	_	PRP	_	11	nsubj	_	_
11	leap	leap	_	VB	_	5	dep	_	_
12	in	in	_	IN	_	14	case	_	_
13	the	the	_	DT	_	14	det	_	_
14	air	air	_	NN	_	11	nmod	_	_
15	and	and	_	CC	_	11	cc	_	_
16	fell	fall	_	VBD	_	11	conj	_	_
17	off	off	_	RP	_	16	compound:prt	_	_
18	the	the	_	DT	_	19	det	_	_
19	deck	deck	_	NN	_	16	dobj	_	_
20	.	.	_	.	_	3	punct	_	_

1	But	but	_	CC	_	3	cc	_	_
2	not	not	_	RB	_	3	dep	_	_
3	quite	quite	_	RB	_	0	root	_	_
4	,	,	_	,	_	6	punct	_	_
5	I	I	_	PRP	_	6	nsubj	_	_
6	saw	see	_	VBD	_	3	dep	_	_
7	his	he	_	PRP$	_	10	nmod:poss	_	_
8	one	one	_	CD	_	10	nummod	_	_
9	little	little	_	JJ	_	10	amod	_	_
10	paw	paw	_	NN	_	11	nsubj	_	_
11	hanging	hang	_	VBG	_	6	ccomp	_	_
12	on	on	_	IN	_	11	compound:prt	_	_
13	!	!	_	.	_	3	punct	_	_

1	After	after	_	IN	_	3	case	_	_
2	a	a	_	DT	_	3	det	_	_
3	moment	moment	_	NN	_	8	nmod	_	_
4	or	or	_	CC	_	5	cc	_	_
5	two	two	_	CD	_	3	nummod	_	_
6	his	he	_	PRP$	_	7	nmod:poss	_	_
7	paw	paw	_	NN	_	8	nsubj	_	_
8	slipped	slip	_	VBD	_	0	root	_	_
9	and	and	_	CC	_	8	cc	_	_
10	he	he	_	PRP	_	11	nsubj	_	_
11	tumbled	tumble	_	VBD	_	8	conj	_	_
12	down	down	_	RP	_	11	compound:prt	_	_
13	a	a	_	DT	_	15	det	_	_
14	few	few	_	JJ	_	15	amod	_	_
15	feet	foot	_	NNS	_	11	dobj	_	_
16	.	.	_	.	_	8	punct	_	_

1	But	but	_	CC	_	0	root	_	_
2	oh	oh	_	UH	_	1	discourse	_	_
3	,	,	_	,	_	2	punct	_	_
4	if	if	_	IN	_	8	mark	_	_
5	you	you	_	PRP	_	8	nsubj	_	_
6	could	could	_	MD	_	8	aux	_	_
7	have	have	_	VB	_	8	aux	_	_
8	seen	see	_	VBN	_	3	root	_	_
9	the	the	_	DT	_	10	det	_	_
10	look	look	_	NN	_	8	dobj	_	_
11	on	on	_	IN	_	14	case	_	_
12	his	he	_	PRP$	_	14	nmod:poss	_	_
13	startled	startled	_	JJ	_	14	amod	_	_
14	face	face	_	NN	_	10	nmod	_	_
15	and	and	_	CC	_	8	cc	_	_
16	how	how	_	WRB	_	18	advmod	_	_
17	he	he	_	PRP	_	18	nsubj	_	_
18	jumped	jump	_	VBD	_	8	conj	_	_
19	back	back	_	RB	_	18	advmod	_	_
20	each	each	_	DT	_	21	det	_	_
21	time	time	_	NN	_	18	nmod:tmod	_	_
22	he	he	_	PRP	_	23	nsubj	_	_
23	caught	catch	_	VBD	_	21	acl:relcl	_	_
24	his	he	_	PRP$	_	25	nmod:poss	_	_
25	reflection	reflection	_	NN	_	23	dobj	_	_
26	in	in	_	IN	_	28	case	_	_
27	the	the	_	DT	_	28	det	_	_
28	bowl	bowl	_	NN	_	23	nmod	_	_
29	!	!	_	.	_	8	punct	_	_

","(ROOT (S (NP (DT This)) (VP (VBZ is) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT those) (NNS times)) (SBAR (S (NP (PRP I)) (VP (VBP wish) (SBAR (S (NP (PRP I)) (VP (VBD had) (NP (DT a) (JJ digital) (NN camera)))))))))))) (. .)))
(ROOT (S (NP (PRP We)) (VP (VBP keep) (NP (NP (DT a) (JJ large) (JJ stainless) (NN steel) (NN bowl)) (PP (IN of) (NP (NN water)))) (PP (NN outside) (PP (IN on) (NP (NP (DT the) (JJ back) (NN deck)) (PP (IN for) (NP (NNP Benjamin))) (S (VP (TO to) (VP (VB drink) (ADVP (IN out) (PP (IN of) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG playing) (ADVP (RB outside))))))))))))))) (. .)))
(ROOT (S (NP (PRP$ His) (NN bowl)) (VP (VBZ has) (VP (VBN become) (NP (DT a) (ADJP (RB very) (JJ popular)) (NN site)))) (. .)))
(ROOT (S (PP (IN Throughout) (NP (DT the) (NN day))) (, ,) (NP (JJ many) (NNS birds)) (VP (VBP drink) (PRT (IN out)) (UCP (PP (IN of) (NP (PRP it))) (CC and) (S (VP (VB bathe) (PP (IN in) (NP (PRP it))))))) (. .)))
(ROOT (S (NP (DT The) (NNS birds)) (ADVP (RB literally)) (VP (VP (VBP line) (PRT (RP up)) (PP (IN on) (NP (DT the) (NN railing)))) (CC and) (VP (VB wait) (NP (PRP$ their) (NN turn)))) (. .)))
(ROOT (S (NP (NNS Squirrels)) (ADVP (RB also)) (VP (VBP come) (S (VP (TO to) (VP (VB drink) (PRT (IN out)) (PP (IN of) (NP (PRP it))))))) (. .)))
(ROOT (S (S (NP (DT The) (JJS craziest) (NN squirrel)) (ADVP (RB just)) (VP (VBD came) (PP (IN by)))) (: -) (S (NP (PRP he)) (VP (VBD was) (ADVP (RB literally)) (VP (VBG jumping) (PP (IN in) (NP (NP (NN fright)) (SBAR (WHPP (IN at) (WHNP (WP what))) (S (NP (PRP I)) (VP (VBP believe) (SBAR (S (VP (VBD was) (NP (NP (PRP$ his) (JJ own) (NN reflection)) (PP (IN in) (NP (DT the) (NN bowl))))))))))))))) (. .)))
(ROOT (S (NP (PRP He)) (VP (VP (VBD was) (VP (VBN startled) (ADVP (RB so) (RB much)) (PP (IN at) (NP (CD one) (NN point))) (SBAR (IN that) (S (NP (PRP he)) (VP (VB leap) (PP (IN in) (NP (DT the) (NN air)))))))) (CC and) (VP (VBD fell) (PRT (RP off)) (NP (DT the) (NN deck)))) (. .)))
(ROOT (S (CC But) (ADVP (RB not) (RB quite)) (, ,) (NP (PRP I)) (VP (VBD saw) (NP (PRP$ his) (CD one) (JJ little) (NN paw)) (S (VP (VBG hanging) (PP (IN on))))) (. !)))
(ROOT (S (S (PP (IN After) (NP (NP (DT a) (NN moment)) (CC or) (NP (CD two)))) (NP (PRP$ his) (NN paw)) (VP (VBD slipped))) (CC and) (S (NP (PRP he)) (VP (VBD tumbled) (PRT (RP down)) (NP (DT a) (JJ few) (NNS feet)))) (. .)))
(ROOT (S (CC But) (S (FRAG (INTJ (UH oh)) (, ,) (ADVP (IN if))) (NP (PRP you)) (VP (MD could) (VP (VB have) (VP (VBN seen) (NP (NP (DT the) (NN look)) (PP (IN on) (NP (PRP$ his) (JJ startled) (NN face)))))))) (CC and) (S (SBAR (WHADVP (WRB how)) (S (NP (PRP he)) (VP (VBD jumped) (ADVP (RB back)) (NP-TMP (DT each) (NN time))))) (NP (PRP he)) (VP (VBD caught) (NP (PRP$ his) (NN reflection)) (PP (IN in) (NP (DT the) (NN bowl))))) (. !)))
","This is one of those times I wish I had a digital camera. We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside. His bowl has become a very popular site. Throughout the day, many birds drink out of it and bathe in it. The birds literally line up on the railing and wait their turn. Squirrels also come to drink out of it. The craziest squirrel just came by- he was literally jumping in fright at what I believe was his own reflection in the bowl. He was startled so much at one point that he leap in the air and fell off the deck. But not quite, I saw his one little paw hanging on! After a moment or two his paw slipped and he tumbled down a few feet. But oh, if you could have seen the look on his startled face and how he jumped back each time he caught his reflection in the bowl!"
,,,mc500.train.0,"1	Alyssa	Alyssa	_	NNP	_	2	nsubj	_	_
2	got	get	_	VBD	_	0	root	_	_
3	to	to	_	TO	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	beach	beach	_	NN	_	2	nmod	_	_
6	after	after	_	IN	_	9	case	_	_
7	a	a	_	DT	_	9	det	_	_
8	long	long	_	JJ	_	9	amod	_	_
9	trip	trip	_	NN	_	2	nmod	_	_
10	.	.	_	.	_	2	punct	_	_

1	She	she	_	PRP	_	4	nsubj	_	_
2	's	be	_	VBZ	_	4	cop	_	_
3	from	from	_	IN	_	4	case	_	_
4	Charlotte	Charlotte	_	NNP	_	0	root	_	_
5	.	.	_	.	_	4	punct	_	_

1	She	she	_	PRP	_	2	nsubj	_	_
2	traveled	travel	_	VBD	_	0	root	_	_
3	from	from	_	IN	_	4	case	_	_
4	Atlanta	Atlanta	_	NNP	_	2	nmod	_	_
5	.	.	_	.	_	2	punct	_	_

1	She	she	_	PRP	_	5	nsubj	_	_
2	's	be	_	VBZ	_	5	cop	_	_
3	now	now	_	RB	_	5	advmod	_	_
4	in	in	_	IN	_	5	case	_	_
5	Miami	Miami	_	NNP	_	0	root	_	_
6	.	.	_	.	_	5	punct	_	_

1	She	she	_	PRP	_	2	nsubj	_	_
2	went	go	_	VBD	_	0	root	_	_
3	to	to	_	TO	_	4	case	_	_
4	Miami	Miami	_	NNP	_	2	nmod	_	_
5	to	to	_	TO	_	6	mark	_	_
6	visit	visit	_	VB	_	2	xcomp	_	_
7	some	some	_	DT	_	8	det	_	_
8	friends	friend	_	NNS	_	6	dobj	_	_
9	.	.	_	.	_	2	punct	_	_

1	But	but	_	CC	_	3	cc	_	_
2	she	she	_	PRP	_	3	nsubj	_	_
3	wanted	want	_	VBD	_	0	root	_	_
4	some	some	_	DT	_	5	det	_	_
5	time	time	_	NN	_	3	dobj	_	_
6	to	to	_	TO	_	7	case	_	_
7	herself	herself	_	PRP	_	3	nmod	_	_
8	at	at	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	beach	beach	_	NN	_	3	nmod	_	_
11	,	,	_	,	_	3	punct	_	_
12	so	so	_	IN	_	14	mark	_	_
13	she	she	_	PRP	_	14	nsubj	_	_
14	went	go	_	VBD	_	3	advcl	_	_
15	there	there	_	EX	_	14	advmod	_	_
16	first	first	_	RB	_	15	advmod	_	_
17	.	.	_	.	_	3	punct	_	_

1	After	after	_	IN	_	2	mark	_	_
2	going	go	_	VBG	_	9	advcl	_	_
3	swimming	swimming	_	NN	_	2	dobj	_	_
4	and	and	_	CC	_	2	cc	_	_
5	laying	lay	_	VBG	_	2	conj	_	_
6	out	out	_	RP	_	5	compound:prt	_	_
7	,	,	_	,	_	9	punct	_	_
8	she	she	_	PRP	_	9	nsubj	_	_
9	went	go	_	VBD	_	0	root	_	_
10	to	to	_	TO	_	15	case	_	_
11	her	she	_	PRP$	_	13	nmod:poss	_	_
12	friend	friend	_	NN	_	13	compound	_	_
13	Ellen	Ellen	_	NNP	_	15	nmod:poss	_	_
14	's	's	_	POS	_	13	case	_	_
15	house	house	_	NN	_	9	nmod	_	_
16	.	.	_	.	_	9	punct	_	_

1	Ellen	Ellen	_	NNP	_	2	nsubj	_	_
2	greeted	greet	_	VBD	_	0	root	_	_
3	Alyssa	Alyssa	_	NNP	_	2	dobj	_	_
4	and	and	_	CC	_	2	cc	_	_
5	they	they	_	PRP	_	7	nsubj	_	_
6	both	both	_	DT	_	5	det	_	_
7	had	have	_	VBD	_	2	conj	_	_
8	some	some	_	DT	_	9	det	_	_
9	lemonade	lemonade	_	NN	_	7	dobj	_	_
10	to	to	_	TO	_	11	mark	_	_
11	drink	drink	_	VB	_	9	acl	_	_
12	.	.	_	.	_	2	punct	_	_

1	Alyssa	Alyssa	_	NNP	_	2	nsubj	_	_
2	called	call	_	VBD	_	0	root	_	_
3	her	she	_	PRP$	_	4	nmod:poss	_	_
4	friends	friend	_	NNS	_	5	nsubj	_	_
5	Kristin	Kristin	_	NNP	_	2	xcomp	_	_
6	and	and	_	CC	_	5	cc	_	_
7	Rachel	Rachel	_	NNP	_	5	conj	_	_
8	to	to	_	TO	_	9	mark	_	_
9	meet	meet	_	VB	_	5	acl	_	_
10	at	at	_	IN	_	13	case	_	_
11	Ellen	Ellen	_	NNP	_	13	nmod:poss	_	_
12	's	's	_	POS	_	11	case	_	_
13	house	house	_	NN	_	9	nmod	_	_
14	.	.	_	.	_	2	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	girls	girl	_	NNS	_	3	nsubj	_	_
3	traded	trade	_	VBD	_	0	root	_	_
4	stories	story	_	NNS	_	3	dobj	_	_
5	and	and	_	CC	_	3	cc	_	_
6	caught	catch	_	VBD	_	3	conj	_	_
7	up	up	_	RP	_	6	compound:prt	_	_
8	on	on	_	IN	_	10	case	_	_
9	their	they	_	PRP$	_	10	nmod:poss	_	_
10	lives	life	_	NNS	_	6	nmod	_	_
11	.	.	_	.	_	3	punct	_	_

1	It	it	_	PRP	_	5	nsubj	_	_
2	was	be	_	VBD	_	5	cop	_	_
3	a	a	_	DT	_	5	det	_	_
4	happy	happy	_	JJ	_	5	amod	_	_
5	time	time	_	NN	_	0	root	_	_
6	for	for	_	IN	_	7	case	_	_
7	everyone	everyone	_	NN	_	5	nmod	_	_
8	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	girls	girl	_	NNS	_	3	nsubj	_	_
3	went	go	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	case	_	_
5	a	a	_	DT	_	6	det	_	_
6	restaurant	restaurant	_	NN	_	3	nmod	_	_
7	for	for	_	IN	_	8	case	_	_
8	dinner	dinner	_	NN	_	3	nmod	_	_
9	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	restaurant	restaurant	_	NN	_	3	nsubj	_	_
3	had	have	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	5	det	_	_
5	special	special	_	JJ	_	3	dobj	_	_
6	on	on	_	IN	_	7	case	_	_
7	catfish	catfish	_	NN	_	3	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	Alyssa	Alyssa	_	NNP	_	2	nsubj	_	_
2	enjoyed	enjoy	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	restaurant	restaurant	_	NN	_	6	nmod:poss	_	_
5	's	's	_	POS	_	4	case	_	_
6	special	special	_	JJ	_	2	dobj	_	_
7	.	.	_	.	_	2	punct	_	_

1	Ellen	Ellen	_	NNP	_	2	nsubj	_	_
2	ordered	order	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	salad	salad	_	NN	_	2	dobj	_	_
5	.	.	_	.	_	2	punct	_	_

1	Kristin	Kristin	_	NNP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	soup	soup	_	NN	_	2	dobj	_	_
4	.	.	_	.	_	2	punct	_	_

1	Rachel	Rachel	_	NNP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	steak	steak	_	NN	_	2	dobj	_	_
5	.	.	_	.	_	2	punct	_	_

1	After	after	_	IN	_	2	mark	_	_
2	eating	eat	_	VBG	_	6	advcl	_	_
3	,	,	_	,	_	6	punct	_	_
4	the	the	_	DT	_	5	det	_	_
5	ladies	lady	_	NNS	_	6	nsubj	_	_
6	went	go	_	VBD	_	0	root	_	_
7	back	back	_	RB	_	6	advmod	_	_
8	to	to	_	TO	_	11	case	_	_
9	Ellen	Ellen	_	NNP	_	11	nmod:poss	_	_
10	's	's	_	POS	_	9	case	_	_
11	house	house	_	NN	_	6	nmod	_	_
12	to	to	_	TO	_	13	mark	_	_
13	have	have	_	VB	_	6	xcomp	_	_
14	fun	fun	_	NN	_	13	dobj	_	_
15	.	.	_	.	_	6	punct	_	_

1	They	they	_	PRP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	lots	lot	_	NNS	_	2	dobj	_	_
4	of	of	_	IN	_	5	case	_	_
5	fun	fun	_	NN	_	3	nmod	_	_
6	.	.	_	.	_	2	punct	_	_

1	They	they	_	PRP	_	2	nsubj	_	_
2	stayed	stay	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	night	night	_	NN	_	2	nmod:tmod	_	_
5	because	because	_	IN	_	8	mark	_	_
6	they	they	_	PRP	_	8	nsubjpass	_	_
7	were	be	_	VBD	_	8	auxpass	_	_
8	tired	tire	_	VBN	_	2	advcl	_	_
9	.	.	_	.	_	2	punct	_	_

1	Alyssa	Alyssa	_	NNP	_	3	nsubj	_	_
2	was	be	_	VBD	_	3	cop	_	_
3	happy	happy	_	JJ	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	spend	spend	_	VB	_	3	xcomp	_	_
6	time	time	_	NN	_	5	dobj	_	_
7	with	with	_	IN	_	9	case	_	_
8	her	she	_	PRP$	_	9	nmod:poss	_	_
9	friends	friend	_	NNS	_	5	nmod	_	_
10	again	again	_	RB	_	5	advmod	_	_
11	.	.	_	.	_	3	punct	_	_

","(ROOT (S (NP (NNP Alyssa)) (VP (VBD got) (PP (TO to) (NP (DT the) (NN beach))) (PP (IN after) (NP (DT a) (JJ long) (NN trip)))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBZ 's) (PP (IN from) (NP (NNP Charlotte)))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBD traveled) (PP (IN from) (NP (NNP Atlanta)))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBZ 's) (ADVP (RB now)) (PP (IN in) (NP (NNP Miami)))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBD went) (PP (TO to) (NP (NNP Miami))) (S (VP (TO to) (VP (VB visit) (NP (DT some) (NNS friends)))))) (. .)))
(ROOT (S (CC But) (S (NP (PRP she)) (VP (VBD wanted) (NP (DT some) (NN time)) (PP (TO to) (NP (PRP herself))) (PP (IN at) (NP (DT the) (NN beach))))) (, ,) (IN so) (S (NP (PRP she)) (VP (VBD went) (S (NP (EX there)) (ADJP (RB first))))) (. .)))
(ROOT (S (PP (IN After) (S (VP (VP (VBG going) (NP (NN swimming))) (CC and) (VP (VBG laying) (PRT (RP out)))))) (, ,) (NP (PRP she)) (VP (VBD went) (PP (TO to) (NP (NP (PRP$ her) (NN friend)) (NP (NP (NNP Ellen) (POS 's)) (NN house))))) (. .)))
(ROOT (S (NP (NNP Ellen)) (VP (VBD greeted) (SBAR (S (NP (NNP Alyssa) (CC and) (PRP they)) (DT both) (VP (VBD had) (NP (DT some) (NN lemonade) (S (VP (TO to) (VP (VB drink))))))))) (. .)))
(ROOT (S (NP (NNP Alyssa)) (VP (VBD called) (NP (PRP$ her) (NNS friends)) (S (NP (NNP Kristin) (CC and) (NNP Rachel)) (VP (TO to) (VP (VB meet) (PP (IN at) (NP (NP (NNP Ellen) (POS 's)) (NN house))))))) (. .)))
(ROOT (S (NP (DT The) (NNS girls)) (VP (VP (VBD traded) (NP (NNS stories))) (CC and) (VP (VBD caught) (PRT (RP up)) (PP (IN on) (NP (PRP$ their) (NNS lives))))) (. .)))
(ROOT (S (NP (PRP It)) (VP (VBD was) (NP (NP (DT a) (JJ happy) (NN time)) (PP (IN for) (NP (NN everyone))))) (. .)))
(ROOT (S (NP (DT The) (NNS girls)) (VP (VBD went) (PP (TO to) (NP (DT a) (NN restaurant))) (PP (IN for) (NP (NN dinner)))) (. .)))
(ROOT (S (NP (DT The) (NN restaurant)) (VP (VBD had) (NP (NP (DT a) (JJ special)) (PP (IN on) (NP (NN catfish))))) (. .)))
(ROOT (S (NP (NNP Alyssa)) (VP (VBD enjoyed) (NP (NP (DT the) (NN restaurant) (POS 's)) (JJ special))) (. .)))
(ROOT (S (NP (NNP Ellen)) (VP (VBD ordered) (NP (DT a) (NN salad))) (. .)))
(ROOT (S (NP (NNP Kristin)) (VP (VBD had) (NP (NN soup))) (. .)))
(ROOT (S (NP (NNP Rachel)) (VP (VBD had) (NP (DT a) (NN steak))) (. .)))
(ROOT (S (PP (IN After) (S (VP (VBG eating)))) (, ,) (NP (DT the) (NNS ladies)) (VP (VBD went) (ADVP (RB back)) (PP (TO to) (NP (NP (NNP Ellen) (POS 's)) (NN house) (S (VP (TO to) (VP (VB have) (NP (NN fun)))))))) (. .)))
(ROOT (S (NP (PRP They)) (VP (VBD had) (NP (NP (NNS lots)) (PP (IN of) (NP (NN fun))))) (. .)))
(ROOT (S (NP (PRP They)) (VP (VBD stayed) (NP-TMP (DT the) (NN night)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBD were) (ADJP (VBN tired)))))) (. .)))
(ROOT (S (NP (NNP Alyssa)) (VP (VBD was) (ADJP (JJ happy) (S (VP (TO to) (VP (VB spend) (NP (NN time)) (PP (IN with) (NP (PRP$ her) (NNS friends))) (ADVP (RB again))))))) (. .)))
","Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming and laying out, she went to her friend Ellen's house. Ellen greeted Alyssa and they both had some lemonade to drink. Alyssa called her friends Kristin and Rachel to meet at Ellen's house. The girls traded stories and caught up on their lives. It was a happy time for everyone. The girls went to a restaurant for dinner. The restaurant had a special on catfish. Alyssa enjoyed the restaurant's special. Ellen ordered a salad. Kristin had soup. Rachel had a steak. After eating, the ladies went back to Ellen's house to have fun. They had lots of fun. They stayed the night because they were tired. Alyssa was happy to spend time with her friends again.
"
,,,mc500.train.23,"1	It	it	_	PRP	_	4	nsubj	_	_
2	was	be	_	VBD	_	4	cop	_	_
3	Saturday	Saturday	_	NNP	_	4	compound	_	_
4	afternoon	afternoon	_	NN	_	0	root	_	_
5	and	and	_	CC	_	4	cc	_	_
6	Andrew	Andrew	_	NNP	_	8	nsubjpass	_	_
7	was	be	_	VBD	_	8	auxpass	_	_
8	bored	bore	_	VBN	_	4	conj	_	_
9	.	.	_	.	_	4	punct	_	_

1	He	he	_	PRP	_	4	nsubj	_	_
2	had	have	_	VBD	_	4	aux	_	_
3	been	be	_	VBN	_	4	aux	_	_
4	watching	watch	_	VBG	_	0	root	_	_
5	TV	tv	_	NN	_	4	dobj	_	_
6	all	all	_	DT	_	7	det	_	_
7	day	day	_	NN	_	4	nmod:tmod	_	_
8	.	.	_	.	_	4	punct	_	_

1	He	he	_	PRP	_	2	nsubj	_	_
2	told	tell	_	VBD	_	0	root	_	_
3	his	he	_	PRP$	_	4	nmod:poss	_	_
4	dad	dad	_	NN	_	2	dobj	_	_
5	,	,	_	,	_	2	punct	_	_
6	``	``	_	``	_	2	punct	_	_
7	There	there	_	EX	_	8	expl	_	_
8	's	be	_	VBZ	_	2	ccomp	_	_
9	nothing	nothing	_	NN	_	8	nsubj	_	_
10	to	to	_	TO	_	11	mark	_	_
11	do	do	_	VB	_	9	acl	_	_
12	!	!	_	.	_	2	punct	_	_
13	''	''	_	''	_	2	punct	_	_

1	Andrew	Andrew	_	NNP	_	3	nmod:poss	_	_
2	's	's	_	POS	_	1	case	_	_
3	dad	dad	_	NN	_	4	nsubj	_	_
4	said	say	_	VBD	_	0	root	_	_
5	,	,	_	,	_	4	punct	_	_
6	``	``	_	``	_	4	punct	_	_
7	I	I	_	PRP	_	8	nsubj	_	_
8	think	think	_	VBP	_	4	ccomp	_	_
9	the	the	_	DT	_	10	det	_	_
10	newspaper	newspaper	_	NN	_	11	nsubj	_	_
11	is	be	_	VBZ	_	8	ccomp	_	_
12	here	here	_	RB	_	11	advmod	_	_
13	.	.	_	.	_	4	punct	_	_

1	Maybe	maybe	_	RB	_	4	advmod	_	_
2	we	we	_	PRP	_	4	nsubj	_	_
3	can	can	_	MD	_	4	aux	_	_
4	find	find	_	VB	_	0	root	_	_
5	an	a	_	DT	_	6	det	_	_
6	idea	idea	_	NN	_	4	dobj	_	_
7	in	in	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	newspaper	newspaper	_	NN	_	6	nmod	_	_
10	.	.	_	.	_	4	punct	_	_
11	''	''	_	''	_	4	punct	_	_

1	Andrew	Andrew	_	NNP	_	2	nsubj	_	_
2	looked	look	_	VBD	_	0	root	_	_
3	outside	outside	_	IN	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	window	window	_	NN	_	2	nmod	_	_
6	and	and	_	CC	_	2	cc	_	_
7	saw	see	_	VBD	_	2	conj	_	_
8	the	the	_	DT	_	9	det	_	_
9	newspaper	newspaper	_	NN	_	7	dobj	_	_
10	by	by	_	IN	_	12	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	door	door	_	NN	_	7	nmod	_	_
13	.	.	_	.	_	2	punct	_	_

1	On	on	_	IN	_	3	case	_	_
2	the	the	_	DT	_	3	det	_	_
3	front	front	_	NN	_	4	nmod	_	_
4	was	be	_	VBD	_	0	root	_	_
5	a	a	_	DT	_	6	det	_	_
6	picture	picture	_	NN	_	4	nsubj	_	_
7	of	of	_	IN	_	9	case	_	_
8	an	a	_	DT	_	9	det	_	_
9	elephant	elephant	_	NN	_	6	nmod	_	_
10	.	.	_	.	_	4	punct	_	_

1	He	he	_	PRP	_	2	nsubj	_	_
2	picked	pick	_	VBD	_	0	root	_	_
3	up	up	_	RP	_	2	compound:prt	_	_
4	the	the	_	DT	_	5	det	_	_
5	newspaper	newspaper	_	NN	_	2	dobj	_	_
6	and	and	_	CC	_	2	cc	_	_
7	brought	bring	_	VBD	_	2	conj	_	_
8	it	it	_	PRP	_	7	dobj	_	_
9	to	to	_	TO	_	11	case	_	_
10	his	he	_	PRP$	_	11	nmod:poss	_	_
11	dad	dad	_	NN	_	7	nmod	_	_
12	.	.	_	.	_	2	punct	_	_

1	Andrew	Andrew	_	NNP	_	5	nsubj	_	_
2	and	and	_	CC	_	1	cc	_	_
3	his	he	_	PRP$	_	4	nmod:poss	_	_
4	dad	dad	_	NN	_	1	conj	_	_
5	read	read	_	VBD	_	0	root	_	_
6	the	the	_	DT	_	7	det	_	_
7	story	story	_	NN	_	5	dobj	_	_
8	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	circus	circus	_	NN	_	5	nsubj	_	_
3	was	be	_	VBD	_	5	cop	_	_
4	in	in	_	IN	_	5	case	_	_
5	town	town	_	NN	_	0	root	_	_
6	!	!	_	.	_	5	punct	_	_

